,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,year
208496,171213099,05/07/2017 12:00:00 AM,05/06/2010 12:00:00 AM,2130,12,77th Street,1242,1,330,BURGLARY FROM VEHICLE,1300 0329 0344 1609 0321,-6,M,B,101,STREET,,,IC,Invest Cont,330,,,,6300    7TH                          AV,,33.9827,-118.3245,2017
208497,171213726,05/17/2017 12:00:00 AM,05/16/2010 12:00:00 AM,1030,12,77th Street,1235,2,624,BATTERY - SIMPLE ASSAULT,0440 0447 0321 1810,-6,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1300 W  61ST                         ST,,33.9842,-118.298,2017
208498,171214879,05/31/2017 12:00:00 AM,05/01/2010 12:00:00 AM,1,12,77th Street,1203,2,354,THEFT OF IDENTITY,0100 0928 1822,23,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5100 S  WILTON                       PL,,33.9963,-118.3149,2017
208500,171224804,10/06/2017 12:00:00 AM,12/19/2010 12:00:00 AM,1200,12,77th Street,1258,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,46,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,100 W  75TH                         ST,,33.9718,-118.2739,2017
208501,171229899,12/20/2017 12:00:00 AM,02/06/2010 12:00:00 AM,1,12,77th Street,1241,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,515,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,815,,,6600    8TH                          AV,,33.9821,-118.3318,2017
208502,171310766,04/21/2017 12:00:00 AM,12/05/2010 12:00:00 AM,1200,13,Newton,1353,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352 1221 1202,58,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,700 E  VERNON                       AV,,34.0039,-118.2635,2017
208503,171317458,07/28/2017 12:00:00 AM,01/01/2010 12:00:00 AM,2359,13,Newton,1383,2,354,THEFT OF IDENTITY,0100 1822,37,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,200 W  SLAUSON                      AV,,33.9892,-118.2761,2017
208505,171318925,08/22/2017 12:00:00 AM,10/25/2010 12:00:00 AM,1,13,Newton,1331,1,121,"RAPE, FORCIBLE",0527 0419 0537 0360,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,28TH                         ST,MAIN                         ST,34.0231,-118.2698,2017
208506,171323150,10/28/2017 12:00:00 AM,10/27/2010 12:00:00 AM,1550,13,Newton,1377,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 E  55TH                         ST,,33.993,-118.2455,2017
208507,171324225,10/02/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,13,Newton,1362,1,121,"RAPE, FORCIBLE",0522 0502 0527 1251 1258 0537 1259 0552 0400,9,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,812,,,400 E  51ST                         ST,,33.9966,-118.2674,2017
208508,171326243,12/20/2017 12:00:00 AM,06/21/2010 12:00:00 AM,1200,13,Newton,1344,2,354,THEFT OF IDENTITY,0800 1822,62,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 E  41ST                         PL,,34.0082,-118.2681,2017
208509,171406711,02/18/2017 12:00:00 AM,02/01/2010 12:00:00 AM,1400,14,Pacific,1445,2,354,THEFT OF IDENTITY,,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,12500    WASHINGTON                   PL,,33.9989,-118.4369,2017
208510,171406748,02/18/2017 12:00:00 AM,11/05/2010 12:00:00 AM,200,14,Pacific,1454,1,121,"RAPE, FORCIBLE",500,31,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,13400    MAXELLA                      AV,,33.9873,-118.4403,2017
208511,171407187,02/27/2017 12:00:00 AM,02/27/2010 12:00:00 AM,1115,14,Pacific,1446,2,354,THEFT OF IDENTITY,377,2,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,354,,,,12100    WASHINGTON                   PL,,34.0012,-118.4267,2017
208512,171408236,03/13/2017 12:00:00 AM,09/08/2010 12:00:00 AM,800,14,Pacific,1483,2,354,THEFT OF IDENTITY,,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,8200    REDLANDS                     ST,,33.9564,-118.4388,2017
208513,171410920,04/21/2017 12:00:00 AM,10/01/2010 12:00:00 AM,1715,14,Pacific,1464,2,354,THEFT OF IDENTITY,1822,30,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5900    PLAYA VISTA                  DR,,33.9718,-118.4269,2017
208514,171419140,08/22/2017 12:00:00 AM,08/21/2010 12:00:00 AM,1700,14,Pacific,1466,1,330,BURGLARY FROM VEHICLE,0344 1300,29,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,6500 S  SEPULVEDA                    BL,,33.975,-118.4002,2017
208515,171505115,01/19/2017 12:00:00 AM,09/08/2010 12:00:00 AM,2000,15,N Hollywood,1588,2,354,THEFT OF IDENTITY,1813,32,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,354,,,,3200    VELMA                        DR,,34.134,-118.3441,2017
208516,171507457,02/27/2017 12:00:00 AM,11/20/2010 12:00:00 AM,1200,15,N Hollywood,1506,2,354,THEFT OF IDENTITY,0100 0928 1822,19,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11100    RUNNYMEDE                    ST,,34.2057,-118.3734,2017
208517,171513561,06/12/2017 12:00:00 AM,06/15/2010 12:00:00 AM,5,15,N Hollywood,1532,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,0913 0510 1258 0522 0558,11,F,H,101,STREET,,,IC,Invest Cont,760,,,,6000    WILKINSON                    AV,,34.1794,-118.404,2017
208518,171513840,06/19/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,15,N Hollywood,1543,2,354,THEFT OF IDENTITY,,22,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12300    CHANDLER                     BL,,34.1687,-118.4012,2017
208519,171516049,07/26/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,15,N Hollywood,1526,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,0554 0400 0500 0522 0512 0515 0537 0551,6,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,760,,,,6200    BECK                         AV,,34.1831,-118.3833,2017
208520,171516171,07/30/2017 12:00:00 AM,09/01/2010 12:00:00 AM,1530,15,N Hollywood,1545,2,860,BATTERY WITH SEXUAL CONTACT,1811 0522,14,F,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,5200    COLFAX                       AV,,34.1649,-118.3921,2017
208521,171516373,08/03/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,15,N Hollywood,1501,2,354,THEFT OF IDENTITY,1822 0928,49,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7800    NAGLE                        AV,,34.2118,-118.4237,2017
208522,171516828,08/11/2017 12:00:00 AM,08/01/2010 12:00:00 AM,1200,15,N Hollywood,1522,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0448 0417,23,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6500    ETHEL                        AV,,34.1897,-118.417,2017
208523,171516888,08/11/2017 12:00:00 AM,08/21/2010 12:00:00 AM,1200,15,N Hollywood,1545,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,0913 0509 1259 1811 0522,15,F,W,721,HIGH SCHOOL,,,AO,Adult Other,760,,,,5200    COLFAX                       AV,,34.1649,-118.3921,2017
208524,171517250,08/18/2017 12:00:00 AM,11/20/2010 12:00:00 AM,1200,15,N Hollywood,1535,2,354,THEFT OF IDENTITY,1822,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,11500    TIARA                        ST,,34.1785,-118.3816,2017
208525,171522796,11/28/2017 12:00:00 AM,12/01/2010 12:00:00 AM,900,15,N Hollywood,1555,2,354,THEFT OF IDENTITY,0930 0928 1822,28,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5000    BAKMAN                       AV,,34.1608,-118.3774,2017
208526,171524403,12/29/2017 12:00:00 AM,10/01/2010 12:00:00 AM,1200,15,N Hollywood,1566,2,354,THEFT OF IDENTITY,0930 1822,25,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,11100    MOORPARK                     ST,,34.1504,-118.3716,2017
208527,171604885,01/24/2017 12:00:00 AM,12/01/2010 12:00:00 AM,900,16,Foothill,1621,2,649,DOCUMENT FORGERY / STOLEN FELONY,0924 1822 0800 0100,49,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,13800    FILMORE                      ST,,34.263,-118.4336,2017
208528,171606314,02/27/2017 12:00:00 AM,06/01/2010 12:00:00 AM,1200,16,Foothill,1684,2,354,THEFT OF IDENTITY,0928 1822,32,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11800    ARMINTA                      ST,,34.2139,-118.3899,2017
208530,171607084,03/16/2017 12:00:00 AM,01/01/2010 12:00:00 AM,700,16,Foothill,1667,2,354,THEFT OF IDENTITY,,57,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9300    SUNLAND PARK                 DR,,34.2388,-118.3657,2017
208531,171607590,03/16/2017 12:00:00 AM,01/01/2010 12:00:00 AM,2000,16,Foothill,1623,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0515 0522,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,,,,13100    HOYT                         ST,,34.2674,-118.4184,2017
208532,171608778,04/19/2017 12:00:00 AM,01/01/2010 12:00:00 AM,700,16,Foothill,1611,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 0522,2,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,13300    BROWNELL                     ST,,34.2831,-118.426,2017
208533,171608779,04/19/2017 12:00:00 AM,01/01/2010 12:00:00 AM,700,16,Foothill,1611,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0500 0515,5,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,810,812,,,13300    BROWNELL                     ST,,34.2831,-118.426,2017
208534,171609920,05/25/2017 12:00:00 AM,04/11/2010 12:00:00 AM,1800,16,Foothill,1663,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 0522 0551 0554,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,12800    BRANFORD                     ST,,34.2421,-118.4116,2017
208535,171612367,07/25/2017 12:00:00 AM,10/01/2010 12:00:00 AM,900,16,Foothill,1612,2,354,THEFT OF IDENTITY,0928 1822,42,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13100    DAVENTRY                     ST,,34.2784,-118.4182,2017
208536,171612817,08/07/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1000,16,Foothill,1676,2,354,THEFT OF IDENTITY,0100 1202 1822,63,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,10700    VINEDALE                     ST,,34.2287,-118.3639,2017
208537,171704708,01/11/2017 12:00:00 AM,03/20/2010 12:00:00 AM,1600,17,Devonshire,1747,2,354,THEFT OF IDENTITY,1822 0928,31,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16400    GERMAIN                      ST,,34.2619,-118.4897,2017
208538,171708626,03/28/2017 12:00:00 AM,03/01/2010 12:00:00 AM,1200,17,Devonshire,1797,2,354,THEFT OF IDENTITY,0377 0928 1822,51,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8600    RUBIO                        AV,,34.2267,-118.4966,2017
208539,171716068,08/19/2017 12:00:00 AM,12/01/2010 12:00:00 AM,1200,17,Devonshire,1715,2,354,THEFT OF IDENTITY,1822 0928 0927,44,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11900    NUGENT                       DR,,34.2904,-118.5227,2017
208540,171718828,10/09/2017 12:00:00 AM,10/08/2010 12:00:00 AM,1030,17,Devonshire,1749,2,900,VIOLATION OF COURT ORDER,1202 1813,61,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900,,,,10500    COLLETT                      AV,,34.261,-118.4837,2017
208541,171718942,10/11/2017 12:00:00 AM,08/17/2010 12:00:00 AM,800,17,Devonshire,1772,2,354,THEFT OF IDENTITY,0928 1822,59,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,19800    LASSEN                       ST,,34.25,-118.5645,2017
208542,171722882,12/29/2017 12:00:00 AM,10/04/2010 12:00:00 AM,800,17,Devonshire,1796,2,354,THEFT OF IDENTITY,1822,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16700    GRESHAM                      ST,,34.2303,-118.4971,2017
208543,171804693,01/12/2017 12:00:00 AM,01/11/2010 12:00:00 AM,2300,18,Southeast,1842,1,310,BURGLARY,1607 1610 0344 1822,0,X,X,202,LIQUOR STORE,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,310,,,,200 W  IMPERIAL                     HY,,33.9347,-118.2761,2017
208544,171807109,02/23/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,18,Southeast,1832,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0556 0551 1258 1817 0522,3,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,10400 S  FIGUEROA                     ST,,33.9419,-118.2826,2017
208545,171807671,03/07/2017 12:00:00 AM,07/04/2010 12:00:00 AM,1200,18,Southeast,1827,2,354,THEFT OF IDENTITY,0377 1822,23,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9500    HOLMES                       AV,,33.9501,-118.2408,2017
208546,171808555,03/15/2017 12:00:00 AM,01/13/2010 12:00:00 AM,100,18,Southeast,1829,2,813,CHILD ANNOYING (17YRS & UNDER),0500 0913 1251 1258 1801 1817 0556,11,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,813,,,,2000 E  101ST                        ST,,33.9449,-118.2367,2017
208547,171809308,04/05/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,18,Southeast,1891,2,760,LEWD/LASCIVIOUS ACTS WITH CHILD,0515 0913 1817 1820 0516 0500 0506,11,F,G,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,,,,16500    DENVER                       AV,,33.8818,-118.2837,2017
208548,171811680,05/17/2017 12:00:00 AM,09/01/2010 12:00:00 AM,2000,18,Southeast,1846,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0558 1258 1817 0510 0506 0516,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1500 E  112TH                        ST,,33.9332,-118.2485,2017
208549,171811872,05/20/2017 12:00:00 AM,08/09/2010 12:00:00 AM,1200,18,Southeast,1801,2,354,THEFT OF IDENTITY,0377 1822,22,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9100    ORCHARD                      AV,,33.9542,-118.2881,2017
208550,171815148,07/05/2017 12:00:00 AM,08/18/2010 12:00:00 AM,1100,18,Southeast,1861,2,946,OTHER MISCELLANEOUS CRIME,1501,37,M,B,726,POLICE FACILITY,,,IC,Invest Cont,946,,,,500 W  119TH                        ST,,33.925,-118.2826,2017
208551,171818178,09/05/2017 12:00:00 AM,07/24/2010 12:00:00 AM,100,18,Southeast,1846,2,946,OTHER MISCELLANEOUS CRIME,2021 1501,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,946,,,,1500 E  114TH                        ST,,33.9311,-118.2479,2017
208552,171819467,09/25/2017 12:00:00 AM,09/25/2010 12:00:00 AM,2300,18,Southeast,1802,1,121,"RAPE, FORCIBLE",0503 0552 0527 0409,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,812,,,100 W  91ST                         ST,,33.9538,-118.2739,2017
208553,171821162,10/23/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,18,Southeast,1832,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0360 0533 1258 1817 2024,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,10500 S  MAIN                         ST,,33.9411,-118.2739,2017
208554,171907187,02/27/2017 12:00:00 AM,01/10/2010 12:00:00 AM,1105,19,Mission,1913,2,354,THEFT OF IDENTITY,377,43,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14900    POLK                         ST,,34.3089,-118.4613,2017
208555,171908002,03/16/2017 12:00:00 AM,09/15/2010 12:00:00 AM,2045,19,Mission,1901,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 2002,20,F,H,501,SINGLE FAMILY DWELLING,301,BELT FLAILING INSTRUMENT/CHAIN,AO,Adult Other,626,,,,FOOTHILL                     BL,GLENOAKS                     AV,34.3229,-118.4716,2017
208556,171908213,03/20/2017 12:00:00 AM,06/01/2010 12:00:00 AM,700,19,Mission,1904,1,820,ORAL COPULATION,1258 1259 0556 0507,19,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,820,,,14200    FOOTHILL                     BL,,34.3238,-118.4387,2017
208557,171909751,04/13/2017 12:00:00 AM,01/10/2010 12:00:00 AM,5,19,Mission,1983,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",913,60,F,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,668,,,,8400    COLUMBUS                     AV,,34.2231,-118.4655,2017
208558,171911933,05/23/2017 12:00:00 AM,01/01/2010 12:00:00 AM,2000,19,Mission,1913,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0503 1258 0552,0,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,13000    WOODCOCK                     AV,,34.3056,-118.4552,2017
208559,171911934,05/23/2017 12:00:00 AM,01/01/2010 12:00:00 AM,2000,19,Mission,1913,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0503 1258 0552,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,13000    WOODCOCK                     AV,,34.3056,-118.4552,2017
208560,171913109,06/13/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,19,Mission,1994,2,354,THEFT OF IDENTITY,0377 1822,42,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14800    BLYTHE                       ST,,34.2152,-118.4553,2017
208561,171914320,07/05/2017 12:00:00 AM,01/01/2010 12:00:00 AM,5,19,Mission,1921,2,354,THEFT OF IDENTITY,930,16,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,15500    EL CAJON                     ST,,34.3044,-118.4693,2017
208562,171917582,09/04/2017 12:00:00 AM,06/01/2010 12:00:00 AM,800,19,Mission,1901,2,354,THEFT OF IDENTITY,1822,22,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16600    FOOTHILL                     BL,,34.3216,-118.4958,2017
208563,171919093,09/29/2017 12:00:00 AM,09/01/2010 12:00:00 AM,1200,19,Mission,1902,1,121,"RAPE, FORCIBLE",1258 0360 0507 0527 0510 0516,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,15000    COBALT                       ST,,34.3165,-118.4593,2017
208564,171922316,11/17/2017 12:00:00 AM,01/10/2010 12:00:00 AM,1200,19,Mission,1964,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0551 0522 1258 0913,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,9200    VAN NUYS                     BL,,34.2389,-118.4536,2017
208565,171923216,12/17/2017 12:00:00 AM,01/01/2010 12:00:00 AM,800,19,Mission,1977,1,121,"RAPE, FORCIBLE",0360 0400 0503 0551 0506 0522 0527 0529 0536 1258,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,8700    SNOWDEN                      AV,,34.228,-118.4326,2017
208566,172004723,01/10/2017 12:00:00 AM,06/01/2010 12:00:00 AM,1,20,Olympic,2026,2,354,THEFT OF IDENTITY,100,41,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,300 S  CATALINA                     ST,,34.0691,-118.2954,2017
208567,172008408,03/28/2017 12:00:00 AM,03/16/2010 12:00:00 AM,800,20,Olympic,2042,2,354,THEFT OF IDENTITY,1202 0928,53,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,800 S  GRAMERCY                     PL,,34.0581,-118.3132,2017
208568,172008853,04/06/2017 12:00:00 AM,10/15/2010 12:00:00 AM,1200,20,Olympic,2026,2,354,THEFT OF IDENTITY,0100 0928,19,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  CATALINA                     ST,,34.0674,-118.2954,2017
208569,172013071,06/28/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,20,Olympic,2025,1,820,ORAL COPULATION,1257 0550,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,MARIPOSA                     AV,3RD                          ST,34.069,-118.2992,2017
208570,172020383,11/12/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1,20,Olympic,2074,2,354,THEFT OF IDENTITY,100,51,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2100    CAMBRIDGE                    ST,,34.0446,-118.3025,2017
208571,172108860,04/03/2017 12:00:00 AM,07/03/2010 12:00:00 AM,2000,21,Topanga,2128,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0503 0504 0505 0522 0542 0443,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,20400    SATICOY                      ST,,34.212,-118.5754,2017
208572,172111385,05/19/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,21,Topanga,2177,1,121,"RAPE, FORCIBLE",2000 0519 1813,22,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,21500    CALIFA                       ST,,34.1773,-118.5988,2017
208573,180514821,08/21/2018 12:00:00 AM,08/17/2010 12:00:00 AM,2100,5,Harbor,506,1,310,BURGLARY,0344 1606,50,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1400 W  218TH                        ST,,33.8303,-118.3016,2018
208574,172112198,05/24/2017 12:00:00 AM,01/01/2010 12:00:00 AM,2000,21,Topanga,2128,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0522 0556,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,20100    SATICOY                      ST,,34.212,-118.5754,2017
208575,172112538,06/18/2017 12:00:00 AM,03/02/2010 12:00:00 AM,954,21,Topanga,2105,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,43,M,W,726,POLICE FACILITY,,,IC,Invest Cont,341,,,,21500    SCHOENBORN                   ST,,34.221,-118.5989,2017
208576,172117916,10/06/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,21,Topanga,2134,1,121,"RAPE, FORCIBLE",0515 0527 1258 0913,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,22100    WYANDOTTE                    ST,,34.2028,-118.6081,2017
208577,172117990,10/09/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,21,Topanga,2187,2,354,THEFT OF IDENTITY,0927 0377 1822,59,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,21700    VENTURA                      BL,,34.1683,-118.6007,2017
208578,172119457,11/07/2017 12:00:00 AM,12/15/2010 12:00:00 AM,1800,21,Topanga,2144,2,860,BATTERY WITH SEXUAL CONTACT,0522 0510,20,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,6400    SHOUP                        AV,,34.1885,-118.619,2017
208579,180106977,02/10/2018 12:00:00 AM,02/09/2010 12:00:00 AM,200,1,Central,145,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,25,M,A,102,SIDEWALK,,,IC,Invest Cont,341,,,,100    WINSTON                      ST,,34.0476,-118.2477,2018
